player_id,player_name,book_line,over_odds,under_odds,notes
665435,"Alvarez, Andrew",4.5,105,-135,BetRivers | Kansas City@Washington | eid=4782551
651581,"Burns, Chase",7.5,110,-145,BetRivers | New York@Cincinnati | eid=4783741
634167,"Ginn, J.T.",4.5,-135,105,BetRivers | Pittsburgh@Athletics | eid=4783011
477036,"Gore, MacKenzie",5.5,-170,130,BetRivers | Minnesota@Texas | eid=4782475
638048,"Gusto, Ryan",3.5,-150,115,BetRivers | Miami@Philadelphia | eid=4784275
617646,"Imanaga, Shota",6.5,130,-170,BetRivers | Colorado@Chicago Cubs | eid=4783343
622593,"Jones, Jared",4.5,-160,120,BetRivers | Pittsburgh@Athletics | eid=4783011
274353,"Lauer, Eric",3.5,125,-165,BetRivers | Tampa Bay@Los Angeles | eid=4782373
147629,"Lorenzen, Michael",3.5,-185,140,BetRivers | Colorado@Chicago Cubs | eid=4783343
571900,"Martinez, Nick",3.5,105,-135,BetRivers | Tampa Bay@Los Angeles | eid=4782373
413371,"May, Dustin",5.5,120,-160,BetRivers | San Diego@St. Louis | eid=4782117
585941,"Nelson, Ryne",4.5,-160,120,BetRivers | Los Angeles@Arizona | eid=4783793
616095,"Spence, Mitch",3.5,110,-145,BetRivers | Kansas City@Washington | eid=4782551
615219,"Teng, Kai-Wei",5.5,125,-165,BetRivers | Detroit@Houston | eid=4784015
671723,"Ureña, Walbert",4.5,115,-150,BetRivers | Los Angeles@Arizona | eid=4783793
147247,"Wheeler, Zack",6.5,130,-170,BetRivers | Miami@Philadelphia | eid=4784275
