player_id,player_name,pitcher_throws,opp_lhb_pct,batters_faced,notes
656550,"Holmes, Grant",R,0.43,,Atlanta Braves away
663978,"Paddack, Chris",R,0.43,,Cincinnati Reds home
608337,"Giolito, Lucas",R,0.43,,San Diego Padres away
687606,"Schultz, Paxton",R,0.43,,Washington Nationals home
671737,"Bradley, Taj",R,0.43,,Minnesota Twins away
,"Jones, Jared",R,0.43,,Pittsburgh Pirates home
,"Macko, Adam",L,0.43,,Toronto Blue Jays away
669432,"Rogers, Trevor",L,0.43,,Baltimore Orioles home
,"Samaniego, Tyler",L,0.43,,Boston Red Sox away
677944,"Cecconi, Slade",R,0.43,,Cleveland Guardians home
700712,"Ureña, Walbert",R,0.43,,Los Angeles Angels away
607259,"Martinez, Nick",R,0.43,,Tampa Bay Rays home
676974,"Meyer, Max",R,0.43,,Miami Marlins away
642547,"Peralta, Freddy",R,0.43,,New York Mets home
684007,"Imanaga, Shota",L,0.43,,Chicago Cubs away
669467,"Pallante, Andre",R,0.43,,St. Louis Cardinals home
675512,"Melton, Troy",R,0.43,,Detroit Tigers away
607200,"Fedde, Erick",R,0.43,,Chicago White Sox home
663568,"Kolek, Stephen",R,0.43,,Kansas City Royals away
669022,"Gore, MacKenzie",L,0.43,,Texas Rangers home
,"Crow, Coleman",R,0.43,,Milwaukee Brewers away
678906,"Teng, Kai-Wei",R,0.43,,Houston Astros home
657277,"Webb, Logan",R,0.43,,San Francisco Giants away
547179,"Lorenzen, Michael",R,0.43,,Colorado Rockies home
607074,"Rodón, Carlos",L,0.43,,New York Yankees away
622663,"Severino, Luis",R,0.43,,Athletics home
668678,"Gallen, Zac",R,0.43,,Arizona Diamondbacks away
669923,"Kirby, George",R,0.43,,Seattle Mariners home
554430,"Wheeler, Zack",R,0.43,,Philadelphia Phillies away
680736,"Wrobleski, Justin",L,0.43,,Los Angeles Dodgers home
