slate_date,picks,wins,losses,pushes,units,roi_pct
2026-06-08,9,3,6,0,-3.7689,-41.9
2026-06-09,12,7,5,0,0.8080000000000003,6.7
2026-06-10,6,1,5,0,-3.8,-63.3
2026-06-12,15,7,8,0,-3.4152,-22.8
2026-06-13,4,3,1,0,1.5424000000000002,38.6
2026-06-15,7,1,6,0,-5.0,-71.4
2026-06-16,16,6,10,0,-5.6744,-35.5
2026-06-17,4,2,2,0,-0.5606,-14.0
2026-06-19,4,1,3,0,-1.9,-47.5
2026-06-21,2,1,1,0,-0.09089999999999998,-4.5
2026-06-22,3,1,2,0,-1.1667,-38.9
2026-06-23,9,3,6,0,-2.5999999999999996,-28.9
2026-06-24,4,1,3,0,-2.0476,-51.2
