slate_date,player_id,player_name,pick,book_line,fair_k,pick_edge,pick_ev,pick_odds,actual_k,result,profit_units,model_version,recorded_at,graded_at,pick_source
2026-06-08,671096,"Abbott, Andrew",UNDER,4.5,3.971,0.0446,0.0191,-135,6.0,LOSS,-1.0,phase2_v1,2026-06-08T21:25:54,2026-06-09T21:26:33,confirmed
2026-06-08,681293,"Arrighetti, Spencer",UNDER,5.5,4.508,0.148,0.2066,-120,7.0,LOSS,-1.0,phase2_v1,2026-06-08T23:52:51,2026-06-09T21:26:33,confirmed
2026-06-08,621111,"Buehler, Walker",UNDER,4.5,3.797,0.1416,0.2219,100,4.0,WIN,1.0,phase2_v1,2026-06-08T23:52:51,2026-06-09T21:26:33,confirmed
2026-06-08,813349,"Early, Connelly",UNDER,4.5,4.536,0.0693,0.0872,120,6.0,LOSS,-1.0,phase2_v1,2026-06-08T21:25:54,2026-06-09T21:26:33,confirmed
2026-06-08,676106,"Hancock, Emerson",UNDER,5.5,4.35,0.1048,0.1054,-165,3.0,WIN,0.6061,phase2_v1,2026-06-08T21:25:54,2026-06-09T21:26:33,confirmed
2026-06-08,680570,"Rodriguez, Grayson",UNDER,5.5,3.989,0.1735,0.2295,-145,6.0,LOSS,-1.0,phase2_v1,2026-06-08T23:52:51,2026-06-09T21:26:33,confirmed
2026-06-08,605488,"Springs, Jeffrey",UNDER,4.5,3.712,0.0482,0.0129,-160,3.0,WIN,0.625,phase2_v1,2026-06-08T23:52:51,2026-06-09T21:26:33,confirmed
2026-06-08,701542,"Warren, Will",UNDER,4.5,3.828,0.0672,0.0584,-135,5.0,LOSS,-1.0,phase2_v1,2026-06-08T21:25:54,2026-06-09T21:26:33,confirmed
2026-06-08,657277,"Webb, Logan",UNDER,5.5,3.812,0.185,0.2352,-160,7.0,LOSS,-1.0,phase2_v1,2026-06-08T23:52:51,2026-06-09T21:26:33,confirmed
2026-06-09,677944,"Cecconi, Slade",UNDER,4.5,4.008,0.0515,0.03,-130,7.0,LOSS,-1.0,phase2_v1,2026-06-10T17:24:29,2026-06-10T17:24:29,confirmed
