player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
608372,"Sugano, Tomoyuki",3.594,3.5,2.5,19,default,Preview,2.767,early,0.6537,0.3463,0.5918,0.4762,0.5541,0.4459,0.0996,-0.0996,0.1046,-0.2729,-145,110,PASS,below_min_ev(10%)
675512,"Melton, Troy",4.573,4.5,4.5,21,lineup,Preview,2.507,early,0.5116,0.4884,0.4444,0.6226,0.4165,0.5835,0.0951,-0.0951,0.1511,-0.2156,125,-165,OVER,
700712,"Ureña, Walbert",4.597,4.5,3.5,21,default,Preview,2.877,early,0.6485,0.3515,0.5918,0.4762,0.5541,0.4459,0.0944,-0.0944,0.0957,-0.2619,-145,110,PASS,below_min_ev(10%)
607067,"Rea, Colin",3.944,4.0,3.5,19,default,Preview,2.801,early,0.563,0.437,0.5556,0.5122,0.5203,0.4797,0.0427,-0.0427,0.0133,-0.1467,-125,-105,PASS,below_min_edge
571578,"Corbin, Patrick",3.823,4.0,3.5,18,lineup,Preview,2.481,early,0.5518,0.4482,0.5455,0.5238,0.5101,0.4899,0.0417,-0.0417,0.0116,-0.1443,-120,-110,PASS,below_min_edge
668678,"Gallen, Zac",4.236,4.0,3.5,20,default,Preview,2.646,early,0.6095,0.3905,0.6226,0.4444,0.5835,0.4165,0.026,-0.026,-0.021,-0.1215,-165,125,PASS,below_min_edge
669432,"Rogers, Trevor",4.086,4.0,3.5,19,default,Preview,2.692,early,0.5861,0.4139,0.6154,0.4545,0.5752,0.4248,0.011,-0.011,-0.0475,-0.0895,-160,120,PASS,below_min_edge
671096,"Abbott, Andrew",4.19,4.0,4.5,20,lineup,Preview,2.49,early,0.4505,0.5495,0.5,0.5652,0.4694,0.5306,-0.0189,0.0189,-0.0991,-0.0277,100,-130,PASS,below_min_edge
621111,"Buehler, Walker",3.791,4.0,4.5,19,lineup,Preview,2.372,early,0.3825,0.6175,0.4348,0.6296,0.4085,0.5915,-0.026,0.026,-0.1202,-0.0193,130,-170,PASS,below_min_edge
686790,"McDonald, Trevor",4.035,4.0,4.5,18,default,Preview,2.68,early,0.4311,0.5689,0.4878,0.5745,0.4592,0.5408,-0.0281,0.0281,-0.1162,-0.0097,105,-135,PASS,below_min_edge
642547,"Peralta, Freddy",4.852,5.0,5.5,20,default,Preview,2.92,early,0.4122,0.5878,0.4762,0.5918,0.4459,0.5541,-0.0337,0.0337,-0.1344,-0.0068,110,-145,PASS,below_min_edge
671737,"Bradley, Taj",4.547,4.5,4.5,20,default,Preview,2.76,early,0.5068,0.4932,0.5745,0.4878,0.5408,0.4592,-0.034,0.034,-0.1178,0.0111,-135,105,PASS,below_min_edge
676282,"Cantillo, Joey",4.467,4.5,4.5,19,default,Preview,2.785,early,0.4953,0.5047,0.5652,0.5,0.5306,0.4694,-0.0353,0.0353,-0.1237,0.0095,-130,100,PASS,below_min_edge
669372,"Ginn, J.T.",4.704,4.5,5.5,20,default,Preview,2.888,early,0.3914,0.6086,0.4651,0.6,0.4367,0.5633,-0.0452,0.0452,-0.1584,0.0143,115,-150,PASS,below_min_edge
693855,"Seymour, Ian",4.229,4.0,4.5,18,default,Preview,3.041,early,0.4645,0.5355,0.5455,0.5238,0.5101,0.4899,-0.0456,0.0456,-0.1484,0.0223,-120,-110,PASS,below_min_edge
676917,"Cavalli, Cade",4.064,4.0,4.5,18,lineup,Preview,2.372,early,0.4271,0.5729,0.5238,0.5455,0.4899,0.5101,-0.0628,0.0628,-0.1847,0.0503,-110,-120,PASS,below_min_ev(5%)
676974,"Meyer, Max",4.73,4.5,5.5,20,default,Preview,2.785,early,0.3911,0.6089,0.5455,0.5238,0.5101,0.4899,-0.119,0.119,-0.283,0.1625,-120,-110,UNDER,
676106,"Hancock, Emerson",3.873,4.0,4.5,18,default,Preview,2.646,early,0.4063,0.5937,0.6154,0.4545,0.5752,0.4248,-0.1688,0.1688,-0.3397,0.306,-160,120,PASS,ev_cap(31%)
701542,"Warren, Will",4.543,4.5,5.5,19,lineup,Preview,2.553,early,0.3539,0.6461,0.5652,0.5,0.5306,0.4694,-0.1767,0.1767,-0.3739,0.2922,-130,100,PASS,ev_cap(29%)
690986,"Harrison, Kyle",4.424,4.5,5.5,18,default,Preview,2.844,early,0.3526,0.6474,0.5745,0.4878,0.5408,0.4592,-0.1882,0.1882,-0.3862,0.3272,-135,105,PASS,ev_cap(33%)
681293,"Arrighetti, Spencer",4.326,4.5,5.5,19,default,Preview,2.923,early,0.344,0.656,0.5918,0.4762,0.5541,0.4459,-0.2102,0.2102,-0.4188,0.3776,-145,110,PASS,ev_cap(38%)
519242,"Sale, Chris",5.42,5.5,7.5,21,default,Preview,2.812,early,0.2297,0.7703,0.4762,0.5918,0.4459,0.5541,-0.2161,0.2161,-0.5176,0.3015,110,-145,PASS,ev_cap(30%)
813349,"Early, Connelly",4.455,4.5,5.5,20,default,Preview,2.785,early,0.3537,0.6463,0.6226,0.4444,0.5835,0.4165,-0.2298,0.2298,-0.4319,0.4541,-165,125,PASS,ev_cap(45%)
694973,"Skenes, Paul",4.812,5.0,6.5,19,default,Preview,2.692,early,0.2653,0.7347,0.5455,0.5238,0.5101,0.4899,-0.2448,0.2448,-0.5135,0.4025,-120,-110,PASS,ev_cap(40%)
650911,"Sánchez, Cristopher",4.956,5.0,7.5,20,default,Preview,2.646,early,0.1682,0.8318,0.4651,0.6,0.4367,0.5633,-0.2685,0.2685,-0.6384,0.3864,115,-150,PASS,ev_cap(39%)
808967,"Yamamoto, Yoshinobu",4.961,5.0,6.5,20,default,Preview,2.812,early,0.2921,0.7079,0.6154,0.4545,0.5752,0.4248,-0.2831,0.2831,-0.5254,0.5575,-160,120,PASS,ev_cap(56%)
