player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
679883,"Avila, Luinder",3.871,4.0,3.5,18,lineup,Live,2.705,confirmed,0.5545,0.4455,0.4348,0.6296,0.4085,0.5915,0.1461,-0.1461,0.2755,-0.2925,130,-170,PASS,game_started
696270,"Johnson, Ryan",4.431,4.5,4.5,19,lineup,Preview,2.476,confirmed,0.4889,0.5111,0.4762,0.5918,0.4459,0.5541,0.043,-0.043,0.0267,-0.1364,110,-145,PASS,below_min_edge
663567,"Lambert, Peter",4.269,4.5,3.5,20,lineup,Live,2.25,confirmed,0.6337,0.3663,0.6296,0.4348,0.5915,0.4085,0.0422,-0.0422,0.0065,-0.1576,-170,130,PASS,game_started
702275,"Ritchie, JR",4.194,4.0,3.5,18,lineup,Preview,2.417,confirmed,0.613,0.387,0.6429,0.4255,0.6017,0.3983,0.0113,-0.0113,-0.0464,-0.0906,-180,135,PASS,below_min_edge
650644,"Civale, Aaron",3.496,3.5,3.5,18,lineup,Preview,2.33,confirmed,0.4993,0.5007,0.5238,0.5455,0.4899,0.5101,0.0094,-0.0094,-0.0468,-0.0821,-110,-120,PASS,below_min_edge
669456,"Bieber, Shane",4.32,4.5,4.5,19,lineup,Live,2.342,confirmed,0.4694,0.5306,0.5122,0.5556,0.4797,0.5203,-0.0103,0.0103,-0.0836,-0.0449,-105,-125,PASS,game_started
593958,"Rodriguez, Eduardo",3.819,4.0,3.5,19,lineup,Live,2.764,confirmed,0.5459,0.4541,0.6,0.4651,0.5633,0.4367,-0.0174,0.0174,-0.0901,-0.0238,-150,115,PASS,game_started
681517,"Leahy, Kyle",3.627,3.5,3.5,18,lineup,Live,2.451,confirmed,0.5207,0.4793,0.5745,0.4878,0.5408,0.4592,-0.0201,0.0201,-0.0937,-0.0174,-135,105,PASS,game_started
656605,"Keller, Mitch",4.185,4.0,4.5,20,lineup,Live,2.296,confirmed,0.4454,0.5546,0.5349,0.5349,0.5,0.5,-0.0546,0.0546,-0.1672,0.0368,-115,-115,PASS,game_started
665795,"Cabrera, Edward",4.312,4.5,4.5,18,lineup,Live,2.41,confirmed,0.4689,0.5311,0.5745,0.4878,0.5408,0.4592,-0.0719,0.0719,-0.1837,0.0887,-135,105,PASS,game_started
645261,"Alcantara, Sandy",4.561,4.5,5.5,22,lineup,Live,2.451,confirmed,0.3508,0.6492,0.4545,0.6154,0.4248,0.5752,-0.074,0.074,-0.2282,0.0549,120,-160,PASS,game_started
669358,"Baz, Shane",4.961,5.0,5.5,21,lineup,Preview,2.41,confirmed,0.4115,0.5885,0.5238,0.5455,0.4899,0.5101,-0.0784,0.0784,-0.2144,0.0789,-110,-120,PASS,below_min_ev(8%)
666157,"Lodolo, Nick",4.455,4.5,4.5,20,lineup,Live,2.296,confirmed,0.4922,0.5078,0.6154,0.4545,0.5752,0.4248,-0.083,0.083,-0.2002,0.1172,-160,120,PASS,game_started
687075,"Sproat, Brandon",3.935,4.0,4.5,18,lineup,Live,2.583,confirmed,0.4134,0.5866,0.5455,0.5238,0.5101,0.4899,-0.0967,0.0967,-0.242,0.1198,-120,-110,PASS,game_started
543243,"Gray, Sonny",4.322,4.5,4.5,20,lineup,Preview,2.435,confirmed,0.4709,0.5291,0.6154,0.4545,0.5752,0.4248,-0.1043,0.1043,-0.2349,0.1641,-160,120,UNDER,
669923,"Kirby, George",4.441,4.5,5.5,20,lineup,Live,2.41,confirmed,0.3302,0.6698,0.4651,0.6,0.4367,0.5633,-0.1065,0.1065,-0.2901,0.1164,115,-150,PASS,game_started
673540,"Senga, Kodai",3.997,4.0,4.5,18,lineup,Live,2.372,confirmed,0.416,0.584,0.5652,0.5,0.5306,0.4694,-0.1146,0.1146,-0.2639,0.1679,-130,100,PASS,game_started
680736,"Wrobleski, Justin",3.634,3.5,4.5,18,lineup,Live,2.389,confirmed,0.3585,0.6415,0.5122,0.5556,0.4797,0.5203,-0.1212,0.1212,-0.3001,0.1548,-105,-125,PASS,game_started
666200,"Luzardo, Jesús",5.017,5.0,6.5,21,lineup,Live,2.417,confirmed,0.2697,0.7303,0.4545,0.6154,0.4248,0.5752,-0.1551,0.1551,-0.4066,0.1867,120,-160,PASS,game_started
663556,"McClanahan, Shane",4.116,4.0,5.5,18,lineup,Live,2.494,confirmed,0.2895,0.7105,0.4762,0.5918,0.4459,0.5541,-0.1564,0.1564,-0.392,0.2005,110,-145,PASS,game_started
663554,"Mize, Casey",4.187,4.0,5.5,18,lineup,Live,2.661,confirmed,0.3108,0.6892,0.5122,0.5556,0.4797,0.5203,-0.1689,0.1689,-0.3931,0.2405,-105,-125,PASS,game_started
592662,"Ray, Robbie",4.647,4.5,6.5,18,lineup,Preview,2.451,confirmed,0.2248,0.7752,0.4348,0.6296,0.4085,0.5915,-0.1836,0.1836,-0.4828,0.2311,130,-170,PASS,fair_book_gap(1.9)
800048,"Messick, Parker",4.583,4.5,5.5,20,lineup,Live,2.342,confirmed,0.3477,0.6523,0.5918,0.4762,0.5541,0.4459,-0.2064,0.2064,-0.4125,0.3698,-145,110,PASS,game_started
680732,"Burke, Sean",4.223,4.0,5.5,19,lineup,Live,2.417,confirmed,0.2986,0.7014,0.6226,0.4444,0.5835,0.4165,-0.2849,0.2849,-0.5204,0.5782,-165,125,PASS,game_started
