player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,game_start,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
640455,"Manaea, Sean",4.206,4.0,4.5,18,lineup,Preview,2026-06-29T23:07:00Z,2.417,early,0.4516,0.5484,0.4545,0.6154,0.4248,0.5752,0.0267,-0.0267,-0.0065,-0.1088,120,-160,PASS,below_min_edge
696270,"Johnson, Ryan",4.217,4.0,4.5,18,default,Preview,2026-06-30T01:40:00Z,2.844,early,0.4604,0.5396,0.4651,0.6,0.4367,0.5633,0.0237,-0.0237,-0.0102,-0.1006,115,-150,PASS,below_min_edge
656288,"Canning, Griffin",4.039,4.0,3.5,18,lineup,Preview,2026-06-30T00:05:00Z,2.451,early,0.587,0.413,0.6,0.4651,0.5633,0.4367,0.0237,-0.0237,-0.0216,-0.1121,-150,115,PASS,below_min_edge
645261,"Alcantara, Sandy",4.379,4.5,4.5,22,lineup,Preview,2026-06-30T00:40:00Z,2.372,early,0.4797,0.5203,0.5238,0.5455,0.4899,0.5101,-0.0102,0.0102,-0.0843,-0.046,-110,-120,PASS,below_min_edge
805673,"Matthews, Zebby",4.83,5.0,4.5,21,lineup,Preview,2026-06-30T00:10:00Z,2.342,early,0.556,0.444,0.6154,0.4545,0.5752,0.4248,-0.0191,0.0191,-0.0965,-0.0232,-160,120,PASS,below_min_edge
641816,"Mahle, Tyler",3.89,4.0,3.5,18,default,Preview,2026-06-30T01:40:00Z,2.767,early,0.5561,0.4439,0.6226,0.4444,0.5835,0.4165,-0.0274,0.0274,-0.1069,-0.0011,-165,125,PASS,below_min_edge
641778,"Lauer, Eric",3.779,4.0,3.5,18,default,Preview,2026-06-30T01:40:00Z,2.877,early,0.5386,0.4614,0.6154,0.4545,0.5752,0.4248,-0.0365,0.0365,-0.1247,0.015,-160,120,PASS,below_min_edge
666157,"Lodolo, Nick",4.124,4.0,4.5,18,default,Preview,2026-06-29T23:40:00Z,3.087,early,0.4515,0.5485,0.5349,0.5349,0.5,0.5,-0.0485,0.0485,-0.1558,0.0254,-115,-115,PASS,below_min_edge
593958,"Rodriguez, Eduardo",3.946,4.0,4.5,19,default,Preview,2026-06-30T01:40:00Z,3.114,early,0.4294,0.5706,0.5745,0.4878,0.5408,0.4592,-0.1114,0.1114,-0.2525,0.1697,-135,105,UNDER,
669358,"Baz, Shane",4.384,4.5,5.5,20,lineup,Preview,2026-06-29T22:35:00Z,2.435,early,0.3233,0.6767,0.4878,0.5745,0.4592,0.5408,-0.1359,0.1359,-0.3371,0.1779,105,-135,UNDER,
663554,"Mize, Casey",4.238,4.0,5.5,18,lineup,Preview,2026-06-29T23:05:00Z,2.695,early,0.3198,0.6802,0.4878,0.5745,0.4592,0.5408,-0.1394,0.1394,-0.3444,0.184,105,-135,PASS,fair_book_gap(1.3)
663567,"Lambert, Peter",4.069,4.0,4.5,19,lineup,Preview,2026-06-30T00:10:00Z,2.296,early,0.4256,0.5744,0.6154,0.4545,0.5752,0.4248,-0.1496,0.1496,-0.3085,0.2638,-160,120,PASS,ev_cap(26%)
624133,"Suarez, Ranger",4.423,4.5,5.5,20,lineup,Preview,2026-06-29T23:10:00Z,2.417,early,0.3279,0.6721,0.5122,0.5556,0.4797,0.5203,-0.1518,0.1518,-0.3598,0.2098,-105,-125,UNDER,
695611,"Jump, Gage",4.018,4.0,4.5,18,default,Preview,2026-06-30T01:40:00Z,2.84,early,0.4326,0.5674,0.6429,0.4255,0.6017,0.3983,-0.1691,0.1691,-0.327,0.3334,-180,135,PASS,ev_cap(33%)
688107,"Gasser, Robert",4.457,4.5,5.5,19,lineup,Preview,2026-06-29T23:40:00Z,2.451,early,0.3352,0.6648,0.5455,0.5238,0.5101,0.4899,-0.1749,0.1749,-0.3854,0.2691,-120,-110,PASS,ev_cap(27%)
680732,"Burke, Sean",4.43,4.5,5.5,19,lineup,Preview,2026-06-29T22:35:00Z,2.462,early,0.3319,0.6681,0.5455,0.5238,0.5101,0.4899,-0.1782,0.1782,-0.3915,0.2755,-120,-110,PASS,ev_cap(28%)
605400,"Nola, Aaron",4.301,4.5,5.5,19,default,Preview,2026-06-29T22:40:00Z,2.722,early,0.3298,0.6702,0.5455,0.5238,0.5101,0.4899,-0.1803,0.1803,-0.3954,0.2795,-120,-110,PASS,ev_cap(28%)
702056,"Yesavage, Trey",4.58,4.5,5.5,20,lineup,Preview,2026-06-29T23:07:00Z,2.296,early,0.3443,0.6557,0.5652,0.5,0.5306,0.4694,-0.1863,0.1863,-0.3908,0.3113,-130,100,PASS,ev_cap(31%)
684007,"Imanaga, Shota",3.815,4.0,4.5,18,lineup,Preview,2026-06-30T00:05:00Z,2.372,early,0.3864,0.6136,0.6154,0.4545,0.5752,0.4248,-0.1888,0.1888,-0.3721,0.35,-160,120,PASS,ev_cap(35%)
677952,"Ashcraft, Braxton",4.739,4.5,6.5,19,lineup,Preview,2026-06-29T22:40:00Z,2.372,early,0.2289,0.7711,0.4651,0.6,0.4367,0.5633,-0.2077,0.2077,-0.5078,0.2851,115,-150,PASS,ev_cap(29%)
800048,"Messick, Parker",4.735,4.5,6.5,20,lineup,Preview,2026-06-29T23:10:00Z,2.342,early,0.2256,0.7744,0.4651,0.6,0.4367,0.5633,-0.2111,0.2111,-0.515,0.2907,115,-150,PASS,ev_cap(29%)
669923,"Kirby, George",4.825,5.0,6.5,21,default,Preview,2026-06-30T01:40:00Z,2.692,early,0.2669,0.7331,0.5122,0.5556,0.4797,0.5203,-0.2128,0.2128,-0.4789,0.3195,-105,-125,PASS,ev_cap(32%)
677960,"Weathers, Ryan",4.696,4.5,6.5,19,lineup,Preview,2026-06-29T23:05:00Z,2.494,early,0.2348,0.7652,0.4878,0.5745,0.4592,0.5408,-0.2244,0.2244,-0.5187,0.3321,105,-135,PASS,ev_cap(33%)
