player_id,player_name,fair_k,fair_k_line,book_line,batters_faced,lineup_source,game_status,game_start,k_sigma,run_mode,model_p_over,model_p_under,implied_p_over,implied_p_under,no_vig_p_over,no_vig_p_under,edge_over,edge_under,ev_over,ev_under,over_odds,under_odds,pick,pass_reason
625643,"López, Reynaldo",3.686,3.5,3.5,18,lineup,Preview,2026-07-01T23:15:00Z,2.691,confirmed,0.5276,0.4724,0.4444,0.6226,0.4165,0.5835,0.1111,-0.1111,0.187,-0.2412,125,-165,OVER,
669372,"Ginn, J.T.",4.916,5.0,4.5,21,default,Preview,2026-07-02T01:40:00Z,2.6,confirmed,0.5636,0.4364,0.4878,0.5745,0.4592,0.5408,0.1044,-0.1044,0.1553,-0.2403,105,-135,PASS,lineup_default
700241,"McGreevy, Michael",3.514,3.5,3.5,19,lineup,Preview,2026-07-01T23:15:00Z,2.372,confirmed,0.5024,0.4976,0.4348,0.6296,0.4085,0.5915,0.0939,-0.0939,0.1554,-0.2096,130,-170,OVER,
607536,"Freeland, Kyle",4.314,4.5,3.5,21,default,Preview,2026-07-02T00:40:00Z,2.722,confirmed,0.6175,0.3825,0.5918,0.4762,0.5541,0.4459,0.0634,-0.0634,0.0434,-0.1968,-145,110,PASS,lineup_default
702273,"Schultz, Noah",4.236,4.0,3.5,18,lineup,Final,2026-07-01T16:35:00Z,2.417,confirmed,0.6197,0.3803,0.6154,0.4545,0.5752,0.4248,0.0445,-0.0445,0.0069,-0.1632,-160,120,PASS,game_started
671096,"Abbott, Andrew",4.103,4.0,4.5,19,default,Preview,2026-07-02T00:10:00Z,2.722,confirmed,0.442,0.558,0.4255,0.6429,0.3983,0.6017,0.0437,-0.0437,0.0388,-0.132,135,-180,PASS,lineup_default
607067,"Rea, Colin",3.786,4.0,3.5,19,lineup,Live,2026-07-01T18:20:00Z,2.531,confirmed,0.545,0.455,0.6,0.4651,0.5633,0.4367,-0.0183,0.0183,-0.0917,-0.0217,-150,115,PASS,game_started
663556,"McClanahan, Shane",3.896,4.0,4.5,18,lineup,Preview,2026-07-01T23:40:00Z,2.494,confirmed,0.4043,0.5957,0.4651,0.6,0.4367,0.5633,-0.0323,0.0323,-0.1307,-0.0072,115,-150,PASS,below_min_edge
607625,"Lugo, Seth",3.438,3.5,3.5,18,lineup,Preview,2026-07-01T23:40:00Z,2.737,confirmed,0.491,0.509,0.5745,0.4878,0.5408,0.4592,-0.0498,0.0498,-0.1454,0.0435,-135,105,PASS,below_min_edge
675512,"Melton, Troy",4.038,4.0,4.5,18,lineup,Final,2026-07-01T17:35:00Z,2.389,confirmed,0.4233,0.5767,0.5238,0.5455,0.4899,0.5101,-0.0666,0.0666,-0.1919,0.0573,-110,-120,PASS,game_started
621111,"Buehler, Walker",3.46,3.5,3.5,18,lineup,Live,2026-07-01T18:20:00Z,2.296,confirmed,0.4931,0.5069,0.6154,0.4545,0.5752,0.4248,-0.0821,0.0821,-0.1988,0.1153,-160,120,PASS,game_started
675660,"Drohan, Shane",4.629,4.5,4.5,18,lineup,Preview,2026-07-02T00:10:00Z,2.372,confirmed,0.5217,0.4783,0.6552,0.4082,0.6161,0.3839,-0.0945,0.0945,-0.2037,0.1719,-190,145,UNDER,
